"User_ID","Gender","Age","Height","Weight","Duration","Heart_Rate","Body_Temp","Calories"
14484158,"male",68,191,97,5,76,38.9,18
15428340,"female",31,166,65,5,90,39.4,22
17907212,"male",23,183,86,12,98,40.3,55
15756788,"female",30,168,69,2,85,37.8,8
11184586,"female",74,167,72,19,102,40.5,121
15209097,"male",24,172,77,27,105,41,148
14448911,"male",28,181,82,3,83,38.6,7
19698350,"female",23,162,57,21,104,40.3,123
10370812,"male",45,191,99,14,96,40,79
16591335,"male",24,183,83,13,90,40.2,44
13052161,"female",55,161,61,10,89,39.8,48
18475658,"male",28,180,79,14,92,40.2,53
16498527,"male",49,190,90,7,84,39.7,27
13655931,"female",28,167,66,12,96,40.5,60
16612651,"male",26,185,85,7,86,39.5,20
16061359,"male",53,186,91,11,82,40.1,41
15361125,"male",24,188,93,18,99,40.3,89
10841708,"male",25,187,86,28,106,40.8,165
15094064,"male",30,190,85,3,90,38.7,11
13466450,"female",63,156,56,17,104,40.6,112
15775857,"male",24,181,78,2,77,38.2,3
10689922,"female",29,169,64,12,92,39.6,55
17877474,"male",30,184,78,17,92,40.2,65
19208436,"male",23,183,81,2,76,38,2
19035318,"male",71,177,75,23,110,40.4,195
13618224,"female",68,168,67,26,103,40.7,167
18561510,"male",20,176,76,4,89,39,11
15779363,"female",59,176,73,6,82,39.2,24
14760081,"male",71,210,115,14,99,40.2,107
12114332,"male",32,188,91,30,128,40.9,289
16070737,"female",29,162,59,4,82,39.2,14
16150645,"female",47,172,75,30,104,40.7,181
18011705,"male",46,184,85,16,96,40.5,86
15345779,"female",26,175,66,18,100,40.5,97
18517438,"male",34,186,87,17,95,40.3,79
16673593,"male",36,162,69,12,90,40.2,44
19009953,"female",35,166,63,13,101,39.8,74
10875764,"male",41,184,86,21,103,40.8,130
15761095,"male",23,187,79,25,108,40.9,148
11683940,"female",20,160,64,23,108,40.6,141
10914555,"female",48,157,52,12,85,40,52
10452954,"female",25,171,66,13,98,39.8,67
19095559,"male",50,199,102,7,88,39.6,33
18418162,"male",32,188,93,10,95,39.7,47
15920115,"female",46,159,59,28,109,41,190
15956214,"female",38,163,70,17,94,40.4,83
17756409,"male",73,185,88,8,90,39.5,47
16568926,"male",36,181,79,5,87,39.4,17
13954315,"male",32,193,98,11,97,40.1,56
15007113,"female",20,159,55,11,95,40.1,54
10953676,"female",32,161,57,4,91,39,19
15633311,"male",42,190,91,16,102,40.3,99
18515268,"male",20,190,88,13,84,40.3,31
10710546,"male",26,191,86,8,83,39.3,20
14228618,"male",30,158,62,21,106,40.4,118
18309037,"male",53,173,75,18,93,40.5,91
17213390,"female",79,174,74,21,100,40.9,130
13917362,"female",45,151,48,28,111,40.7,200
14691174,"male",55,179,83,14,98,40.1,85
14395577,"male",20,169,75,5,87,38.6,13
16170508,"male",21,178,79,11,86,39.7,28
10077557,"female",37,164,60,17,102,40.2,100
12485114,"male",57,177,80,8,91,39.7,40
13674818,"male",27,182,80,3,74,38.9,3
18203533,"male",77,182,88,28,104,41.1,228
19127347,"male",55,177,79,5,92,39.1,25
15831321,"male",41,179,85,25,101,40.8,147
18065143,"male",29,189,94,6,95,39.3,28
11485875,"male",60,203,103,6,88,39.3,31
13379795,"female",68,157,57,13,92,40.1,70
16869558,"male",51,184,85,8,87,39.7,34
17367800,"male",36,180,86,13,94,39.9,60
19185953,"female",23,171,67,25,112,40.5,165
14074396,"female",48,170,66,11,92,39.8,54
16211074,"female",59,157,60,5,84,38.8,22
13464079,"female",52,174,69,26,107,41,170
15228349,"female",72,168,66,26,102,40.7,166
10228565,"male",28,172,72,5,81,38.7,10
17524995,"male",41,181,82,23,106,40.5,151
17012784,"male",41,194,94,17,93,40.6,83
13086099,"male",43,180,84,6,89,39.2,25
11451390,"male",37,187,85,26,103,40.5,156
13526488,"female",24,163,60,6,78,39.5,18
11085705,"male",45,178,76,19,96,40.1,97
19020569,"female",54,163,65,3,80,38.8,11
14565252,"male",20,183,87,23,106,40.6,130
19399710,"female",59,157,60,25,107,40.7,170
10569730,"male",26,178,78,28,103,41,148
13339255,"male",20,192,91,25,94,40.8,98
16151290,"male",24,188,89,12,96,39.7,53
