"mtry","min.node.size","num.trees","RMSE_val","MAE_val","R2_val"
6,1,800,6.77905440262504,4.6206375,0.987331492388333
7,1,800,6.86609869952089,4.74753125,0.987004071823879
6,3,800,6.88739384918956,4.65455833333333,0.986923333280192
6,3,500,6.88748221038235,4.67697833333333,0.986922997746228
7,1,300,6.91091818549943,4.76788333333333,0.986833852335657
6,3,300,6.92276665584622,4.691675,0.986788668054057
5,1,800,6.93304667158607,4.663859375,0.986749402383216
6,1,300,6.94094300349583,4.66763333333333,0.986719201893855
5,1,300,6.96147212953283,4.63964027777778,0.986640524868432
6,1,500,6.97426681881329,4.69753,0.986591372215385
7,3,500,6.97569017851758,4.76262666666667,0.986585898593997
7,5,800,6.98234471243138,4.82423989583334,0.986560293336912
6,5,800,6.98673434246804,4.7618025,0.986543389592697
4,1,800,6.98739462425326,4.72551333333333,0.986540846036823
7,3,800,6.99706459500086,4.77625833333333,0.98650356756889
5,5,800,7.00054544778752,4.72072072916666,0.986490135999344
7,1,500,7.00235736448805,4.76853,0.986483141711187
5,3,300,7.01367159861437,4.75591111111111,0.986439426018329
5,1,500,7.01635032944875,4.73181666666667,0.986429065663137
4,1,500,7.02352256076006,4.78384516666667,0.986401306607854
3,3,800,7.0441681003532,4.73551809523809,0.986321242795402
7,5,300,7.04898408738761,4.84843138888889,0.986302532498929
7,3,300,7.05277508008351,4.86321666666667,0.986287795350439
5,5,500,7.06124541577908,4.72947683333334,0.986254839040033
5,5,300,7.06936851335886,4.72932861111111,0.986223196603364
7,5,500,7.07012006773104,4.841655,0.986220267185501
5,3,800,7.0763121372397,4.74553583333333,0.986196119808433
6,5,300,7.0834622350352,4.7852425,0.986168210084969
5,3,500,7.09044247463521,4.771495,0.986140936196684
4,3,800,7.11719666496374,4.79470647321428,0.986036150754949
6,5,500,7.11795859431231,4.833235,0.986033160803551
4,1,300,7.13804223810119,4.80474472222222,0.985954233468306
4,3,500,7.17603301454068,4.843583,0.985804324131112
3,1,800,7.19704565044809,4.82393970982143,0.985721067744882
4,5,800,7.21573281197291,4.8866090625,0.985646820854532
4,3,300,7.23474847948563,4.85225055555555,0.985571071121674
4,5,300,7.25588915034615,4.89202908730159,0.985486622322364
3,3,500,7.25923000998384,4.8932505,0.985473254334166
6,10,500,7.27338750707338,5.0073398015873,0.985416536773677
3,1,500,7.27757443302636,4.8357515,0.985399741998157
6,10,800,7.27997133341901,5.02830863839285,0.985390123099059
4,5,500,7.2855883266956,4.86264683333333,0.985367569373121
3,5,800,7.28965829079624,4.9466867857143,0.985351216513496
7,10,800,7.33063493241731,5.06522646329366,0.985186066101037
3,3,300,7.35007440815764,4.9814978968254,0.985107394351748
3,5,300,7.36340540462881,5.01624916666667,0.985053323248666
3,1,300,7.37963063872567,4.97653880952381,0.984987380792834
7,10,500,7.42210100546663,5.10824884126984,0.984814085903227
6,10,300,7.4359194936327,5.08620741402116,0.984757486910472
3,5,500,7.44817739909926,5.01785871428571,0.984707191775888
7,10,300,7.47920826467313,5.12754872354497,0.984579499431167
5,10,500,7.55764407643189,5.19015638888889,0.984254368304516
5,10,300,7.57374811053077,5.15310393518519,0.984187194369842
2,1,500,7.62491831372536,5.22470273723499,0.983972801744126
4,10,800,7.63373540889996,5.1152002703373,0.983935714124137
2,3,800,7.66482034341171,5.2119362922841,0.983804618677166
5,10,800,7.66645338169585,5.18921236855158,0.983797716885875
2,1,800,7.69068571262508,5.29184151698996,0.98369512979192
2,5,800,7.72838846271825,5.28858464237152,0.983534872224788
3,10,500,7.78348181582659,5.19691977380952,0.983299285622931
4,10,300,7.82074211403309,5.27007455026455,0.983139006957065
4,10,500,7.82873726097046,5.27136025396825,0.983104515339495
2,3,300,7.83210878004852,5.35669250661376,0.98308995980828
3,10,300,7.83292062847647,5.35050609126984,0.983086453957825
2,5,300,7.88130481227011,5.46819523809525,0.982876857655351
2,1,300,7.89797016182878,5.37728890963204,0.982804365887631
3,10,800,7.9120836302871,5.27593696428572,0.982742854670165
2,3,500,7.923404110938,5.44335587808098,0.982693436856274
2,5,500,7.96961293588724,5.40416819821845,0.982490986524664
2,10,800,8.26926716892663,5.6268918684614,0.981149569818587
2,10,500,8.31958672986383,5.6806658414641,0.980919457195197
2,10,300,8.59985157717392,5.82628056577682,0.979612257949477
1,3,800,12.5822455937606,9.52324111600876,0.956358111615119
1,3,300,13.2584217651269,9.99780493997196,0.951541398216927
1,1,300,13.3015406802713,9.99501253597666,0.951225692460567
1,3,500,13.3775051133267,10.0281811254144,0.950667006430794
1,1,800,13.7089929961018,10.4402773631347,0.948191821018345
1,5,500,13.7597929194323,10.4561075516379,0.947807149758569
1,1,500,13.7768547857773,10.4341103718089,0.947677633341302
1,5,800,13.8359349548395,10.447132082769,0.947227916415022
1,10,300,13.9499048892012,10.5086532784337,0.946354942946842
1,10,800,14.0206736430943,10.5135453418623,0.945809272772888
1,10,500,14.1390474933411,10.6770632544994,0.944890366234292
1,5,300,14.2676517262597,10.6090315572445,0.943883287896332
